delay,ptu_ebay_cmd,ptu_d48_cmd
88.5,ps-49,
88.6,ps-49,
88.7,ps-48,
88.8,ps-48,
88.9,ps-48,
89.0,ps-48,
89.1,ps-47,
89.2,ps-47,
89.3,ps-46,
89.4,ps-46,
89.5,ps-46,
89.6,ps-45,
89.7,ps-45,
89.8,ps-44,
89.9,ps-44,
90.0,ps-43,
90.1,ps-43,
90.2,ps-42,
90.3,ps-42,
90.4,ps-41,
90.5,ps-40,
90.6,ps-40,
90.7,ps-39,
90.8,ps-39,
90.9,ps-38,
91.0,ps-37,
91.1,ps-36,
91.2,ps-36,
91.3,ps-35,
91.4,ps-34,
91.5,ps-33,
91.6,ps-33,
91.7,ps-32,
91.8,ps-31,
91.9,ps-30,
92.0,ps-29,
92.1,ps-29,
92.2,ps-28,
92.3,ps-27,
92.4,ps-26,
92.5,ps-25,
92.6,ps-24,
92.7,ps-23,
92.8,ps-22,
92.9,ps-21,
93.0,ps-20,
93.1,ps-19,
93.2,ps-18,
93.3,ps-17,
93.4,ps-16,
93.5,ps-15,
93.6,ps-14,
93.7,ps-13,
93.8,ps-12,
93.9,ps-11,
94.0,ps-10,
94.1,ps-9,
94.2,ps-8,
94.3,ps-7,
94.4,ps-6,
94.5,ps-5,
94.6,ps-4,
94.7,ps-3,
94.8,ps-2,
94.9,ps-1,
95.0,ps0,
95.1,ps1,
95.2,ps2,
95.3,ps3,
95.4,ps4,
95.5,ps5,
95.6,ps6,
95.7,ps7,
95.8,ps8,
95.9,ps9,
96.0,ps10,
96.1,ps11,
96.2,ps12,
96.3,ps13,
96.4,ps14,
96.5,ps15,
96.6,ps16,
96.7,ps17,
96.8,ps18,
96.9,ps19,
97.0,ps20,
97.1,ps21,
97.2,ps22,
97.3,ps23,
97.4,ps24,
97.5,ps25,
97.6,ps26,
97.7,ps27,
97.8,ps28,
97.9,ps29,
98.0,ps29,
98.1,ps30,
98.2,ps31,
98.3,ps32,
98.4,ps33,
98.5,ps33,
98.6,ps34,
98.7,ps35,
98.8,ps36,
98.9,ps36,
99.0,ps37,
99.1,ps38,
99.2,ps39,
99.3,ps39,
99.4,ps40,
99.5,ps40,
99.6,ps41,
99.7,ps42,
99.8,ps42,
99.9,ps43,
100.0,ps43,
100.1,ps44,
100.2,ps44,
100.3,ps45,
100.4,ps45,
100.5,ps46,
100.6,ps46,
100.7,ps46,
100.8,ps47,
100.9,ps47,
101.0,ps48,
101.1,ps48,
101.2,ps48,
101.3,ps48,
101.4,ps49,
101.5,ps49,
101.6,ps49,
101.7,ps49,
101.8,ps49,
101.9,ps50,
102.0,ps50,
102.1,ps50,
102.2,ps50,
102.3,ps50,
102.4,ps50,
102.5,ps50,
102.6,ps50,
102.7,ps50,
102.8,ps50,
102.9,ps50,
103.0,ps50,
103.1,ps50,
103.2,ps49,
103.3,ps49,
103.4,ps49,
103.5,ps49,
103.6,ps49,
103.7,ps48,
103.8,ps48,
103.9,ps48,
104.0,ps48,
104.1,ps47,
104.2,ps47,
104.3,ps46,
104.4,ps46,
104.5,ps46,
104.6,ps45,
104.7,ps45,
104.8,ps44,
104.9,ps44,
105.0,ps43,
105.1,ps43,
105.2,ps42,
105.3,ps42,
105.4,ps41,
105.5,ps40,
105.6,ps40,
105.7,ps39,
105.8,ps39,
105.9,ps38,
106.0,ps37,
106.1,ps36,
106.2,ps36,
106.3,ps35,
106.4,ps34,
106.5,ps33,
106.6,ps33,
106.7,ps32,
106.8,ps31,
106.9,ps30,
107.0,ps29,
107.1,ps29,
107.2,ps28,
107.3,ps27,
107.4,ps26,
107.5,ps25,
107.6,ps24,
107.7,ps23,
107.8,ps22,
107.9,ps21,
108.0,ps20,
108.1,ps19,
108.2,ps18,
108.3,ps17,
108.4,ps16,
108.5,ps15,
108.6,ps14,
108.7,ps13,
108.8,ps12,
108.9,ps11,
109.0,ps10,
109.1,ps9,
109.2,ps8,
109.3,ps7,
109.4,ps6,
109.5,ps5,
109.6,ps4,
109.7,ps3,
109.8,ps2,
109.9,ps1,
110.0,ps0,
110.1,ps-1,
110.2,ps-2,
110.3,ps-3,
110.4,ps-4,
110.5,ps-5,
110.6,ps-6,
110.7,ps-7,
110.8,ps-8,
110.9,ps-9,
111.0,ps-10,
111.1,ps-11,
111.2,ps-12,
111.3,ps-13,
111.4,ps-14,
111.5,ps-15,
111.6,ps-16,
111.7,ps-17,
111.8,ps-18,
111.9,ps-19,
112.0,ps-20,
112.1,ps-21,
112.2,ps-22,
112.3,ps-23,
112.4,ps-24,
112.5,ps-25,
112.6,ps-26,
112.7,ps-27,
112.8,ps-28,
112.9,ps-29,
113.0,ps-29,
113.1,ps-30,
113.2,ps-31,
113.3,ps-32,
113.4,ps-33,
113.5,ps-33,
113.6,ps-34,
113.7,ps-35,
113.8,ps-36,
113.9,ps-36,
114.0,ps-37,
114.1,ps-38,
114.2,ps-39,
114.3,ps-39,
114.4,ps-40,
114.5,ps-40,
114.6,ps-41,
114.7,ps-42,
114.8,ps-42,
114.9,ps-43,
115.0,ps-43,
115.1,ps-44,
115.2,ps-44,
115.3,ps-45,
115.4,ps-45,
115.5,ps-46,
115.6,ps-46,
115.7,ps-46,
115.8,ps-47,
115.9,ps-47,
116.0,ps-48,
116.1,ps-48,
116.2,ps-48,
116.3,ps-48,
116.4,ps-49,
116.5,ps-49,
116.6,ps-49,
116.7,ps-49,
116.8,ps-49,
116.9,ps-50,
117.0,ps-50,
117.1,ps-50,
117.2,ps-50,
117.3,ps-50,
117.4,ps-50,
117.5,ps-50,
117.6,ps-50,
117.7,ps-50,
117.8,ps-50,
117.9,ps-50,
118.0,ps-50,
118.1,ps-50,
118.2,ps-49,
118.3,ps-49,
118.4,ps-49,
118.5,ps-49,
118.6,ps-49,
118.7,ps-48,
118.8,ps-48,
118.9,ps-48,
119.0,ps-48,
119.1,ps-47,
119.2,ps-47,
119.3,ps-46,
119.4,ps-46,
119.5,ps-46,
119.6,ps-45,
119.7,ps-45,
119.8,ps-44,
119.9,ps-44,
120.0,ps-43,
120.1,ps-43,
120.2,ps-42,
120.3,ps-42,
120.4,ps-41,
120.5,ps-40,
120.6,ps-40,
120.7,ps-39,
120.8,ps-39,
120.9,ps-38,
121.0,ps-37,
121.1,ps-36,
121.2,ps-36,
121.3,ps-35,
121.4,ps-34,
121.5,ps-33,
121.6,ps-33,
121.7,ps-32,
121.8,ps-31,
121.9,ps-30,
122.0,ps-29,
122.1,ps-29,
122.2,ps-28,
122.3,ps-27,
122.4,ps-26,
122.5,ps-25,
122.6,ps-24,
122.7,ps-23,
122.8,ps-22,
