cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
574,62.2,ps-55,
575,62.3,ps-54,
576,62.4,ps-52,
577,62.5,ps-50,
578,62.6,ps-48,
579,62.7,ps-46,
580,62.8,ps-44,
581,62.9,ps-43,
582,63.0,ps-41,
583,63.1,ps-39,
584,63.2,ps-37,
585,63.3,ps-35,
586,63.4,ps-33,
587,63.5,ps-31,
588,63.6,ps-29,
589,63.7,ps-27,
590,63.8,ps-25,
591,63.9,ps-23,
592,64.0,ps-21,
593,64.1,ps-19,
594,64.2,ps-17,
595,64.3,ps-15,
596,64.4,ps-13,
597,64.5,ps-10,
598,64.6,ps-8,
599,64.7,ps-6,
600,64.8,ps-4,
601,64.9,ps-2,
602,65.0,ps0,
603,65.1,ps2,
604,65.2,ps4,
605,65.3,ps6,
606,65.4,ps8,
607,65.5,ps10,
608,65.6,ps13,
609,65.7,ps15,
610,65.8,ps17,
611,65.9,ps19,
612,66.0,ps21,
613,66.1,ps23,
614,66.2,ps25,
615,66.3,ps27,
616,66.4,ps29,
617,66.5,ps31,
618,66.6,ps33,
619,66.7,ps35,
620,66.8,ps37,
621,66.9,ps39,
622,67.0,ps41,
623,67.1,ps43,
624,67.2,ps44,
625,67.3,ps46,
626,67.4,ps48,
627,67.5,ps50,
628,67.6,ps52,
629,67.7,ps54,
630,67.8,ps55,
631,67.9,ps57,
632,68.0,ps59,
633,68.1,ps60,
634,68.2,ps62,
635,68.3,ps64,
636,68.4,ps65,
637,68.5,ps67,
638,68.6,ps68,
639,68.7,ps70,
640,68.8,ps71,
641,68.9,ps73,
642,69.0,ps74,
643,69.1,ps76,
644,69.2,ps77,
645,69.3,ps78,
646,69.4,ps80,
647,69.5,ps81,
648,69.6,ps82,
649,69.7,ps83,
650,69.8,ps84,
651,69.9,ps86,
652,70.0,ps87,
653,70.1,ps88,
654,70.2,ps89,
655,70.3,ps90,
656,70.4,ps90,
657,70.5,ps91,
658,70.6,ps92,
659,70.7,ps93,
660,70.8,ps94,
661,70.9,ps94,
662,71.0,ps95,
663,71.1,ps96,
664,71.2,ps96,
665,71.3,ps97,
666,71.4,ps97,
667,71.5,ps98,
668,71.6,ps98,
669,71.7,ps99,
670,71.8,ps99,
671,71.9,ps99,
672,72.0,ps99,
673,72.1,ps100,
674,72.2,ps100,
675,72.3,ps100,
676,72.4,ps100,
677,72.5,ps100,
678,72.6,ps100,
679,72.7,ps100,
680,72.8,ps100,
681,72.9,ps100,
682,73.0,ps99,
683,73.1,ps99,
684,73.2,ps99,
685,73.3,ps99,
686,73.4,ps98,
687,73.5,ps98,
688,73.6,ps97,
689,73.7,ps97,
690,73.8,ps96,
691,73.9,ps96,
692,74.0,ps95,
693,74.1,ps94,
694,74.2,ps94,
695,74.3,ps93,
696,74.4,ps92,
697,74.5,ps91,
698,74.6,ps90,
699,74.7,ps90,
700,74.8,ps89,
701,74.9,ps88,
702,75.0,ps87,
703,75.1,ps86,
704,75.2,ps84,
705,75.3,ps83,
706,75.4,ps82,
707,75.5,ps81,
708,75.6,ps80,
709,75.7,ps78,
710,75.8,ps77,
711,75.9,ps76,
712,76.0,ps74,
713,76.1,ps73,
714,76.2,ps71,
715,76.3,ps70,
716,76.4,ps68,
717,76.5,ps67,
718,76.6,ps65,
719,76.7,ps64,
720,76.8,ps62,
721,76.9,ps60,
722,77.0,ps59,
723,77.1,ps57,
724,77.2,ps55,
725,77.3,ps54,
726,77.4,ps52,
727,77.5,ps50,
728,77.6,ps48,
729,77.7,ps46,
730,77.8,ps44,
731,77.9,ps43,
732,78.0,ps41,
733,78.1,ps39,
734,78.2,ps37,
735,78.3,ps35,
736,78.4,ps33,
737,78.5,ps31,
738,78.6,ps29,
739,78.7,ps27,
740,78.8,ps25,
741,78.9,ps23,
742,79.0,ps21,
743,79.1,ps19,
744,79.2,ps17,
745,79.3,ps15,
746,79.4,ps13,
747,79.5,ps10,
748,79.6,ps8,
749,79.7,ps6,
750,79.8,ps4,
751,79.9,ps2,
752,80.0,ps0,
753,80.1,ps-2,
754,80.2,ps-4,
755,80.3,ps-6,
756,80.4,ps-8,
757,80.5,ps-10,
758,80.6,ps-13,
759,80.7,ps-15,
760,80.8,ps-17,
761,80.9,ps-19,
762,81.0,ps-21,
763,81.1,ps-23,
764,81.2,ps-25,
765,81.3,ps-27,
766,81.4,ps-29,
767,81.5,ps-31,
768,81.6,ps-33,
769,81.7,ps-35,
770,81.8,ps-37,
771,81.9,ps-39,
772,82.0,ps-41,
773,82.1,ps-43,
774,82.2,ps-44,
775,82.3,ps-46,
776,82.4,ps-48,
777,82.5,ps-50,
778,82.6,ps-52,
779,82.7,ps-54,
780,82.8,ps-55,
781,82.9,ps-57,
782,83.0,ps-59,
783,83.1,ps-60,
784,83.2,ps-62,
785,83.3,ps-64,
786,83.4,ps-65,
787,83.5,ps-67,
788,83.6,ps-68,
789,83.7,ps-70,
790,83.8,ps-71,
791,83.9,ps-73,
792,84.0,ps-74,
793,84.1,ps-76,
794,84.2,ps-77,
795,84.3,ps-78,
796,84.4,ps-80,
797,84.5,ps-81,
798,84.6,ps-82,
799,84.7,ps-83,
800,84.8,ps-84,
801,84.9,ps-86,
802,85.0,ps-87,
803,85.1,ps-88,
804,85.2,ps-89,
805,85.3,ps-90,
806,85.4,ps-90,
807,85.5,ps-91,
808,85.6,ps-92,
809,85.7,ps-93,
810,85.8,ps-94,
811,85.9,ps-94,
812,86.0,ps-95,
813,86.1,ps-96,
814,86.2,ps-96,
815,86.3,ps-97,
816,86.4,ps-97,
817,86.5,ps-98,
818,86.6,ps-98,
819,86.7,ps-99,
820,86.8,ps-99,
821,86.9,ps-99,
822,87.0,ps-99,
823,87.1,ps-100,
824,87.2,ps-100,
825,87.3,ps-100,
826,87.4,ps-100,
827,87.5,ps-100,
828,87.6,ps-100,
829,87.7,ps-100,
830,87.8,ps-100,
831,87.9,ps-100,
832,88.0,ps-99,
833,88.1,ps-99,
834,88.2,ps-99,
835,88.3,ps-99,
836,88.4,ps-98,
837,88.5,ps-98,
838,88.6,ps-97,
839,88.7,ps-97,
840,88.8,ps-96,
841,88.9,ps-96,
842,89.0,ps-95,
843,89.1,ps-94,
844,89.2,ps-94,
845,89.3,ps-93,
846,89.4,ps-92,
847,89.5,ps-91,
848,89.6,ps-90,
849,89.7,ps-90,
850,89.8,ps-89,
851,89.9,ps-88,
852,90.0,ps-87,
853,90.1,ps-86,
854,90.2,ps-84,
855,90.3,ps-83,
856,90.4,ps-82,
857,90.5,ps-81,
858,90.6,ps-80,
859,90.7,ps-78,
860,90.8,ps-77,
861,90.9,ps-76,
862,91.0,ps-74,
863,91.1,ps-73,
864,91.2,ps-71,
865,91.3,ps-70,
866,91.4,ps-68,
867,91.5,ps-67,
868,91.6,ps-65,
869,91.7,ps-64,
870,91.8,ps-62,
871,91.9,ps-60,
872,92.0,ps-59,
873,92.1,ps-57,
874,92.2,ps-55,
875,92.3,ps-54,
876,92.4,ps-52,
877,92.5,ps-50,
878,92.6,ps-48,
879,92.7,ps-46,
880,92.8,ps-44,
881,92.9,ps-43,
882,93.0,ps-41,
883,93.1,ps-39,
884,93.2,ps-37,
885,93.3,ps-35,
886,93.4,ps-33,
887,93.5,ps-31,
888,93.6,ps-29,
889,93.7,ps-27,
890,93.8,ps-25,
891,93.9,ps-23,
892,94.0,ps-21,
893,94.1,ps-19,
894,94.2,ps-17,
895,94.3,ps-15,
896,94.4,ps-13,
897,94.5,ps-10,
898,94.6,ps-8,
899,94.7,ps-6,
900,94.8,ps-4,
901,94.9,ps-2,
902,95.0,ps0,
903,95.1,ps2,
904,95.2,ps4,
905,95.3,ps6,
906,95.4,ps8,
907,95.5,ps10,
908,95.6,ps13,
909,95.7,ps15,
910,95.8,ps17,
911,95.9,ps19,
912,96.0,ps21,
913,96.1,ps23,
914,96.2,ps25,
915,96.3,ps27,
916,96.4,ps29,
917,96.5,ps31,
918,96.6,ps33,
919,96.7,ps35,
920,96.8,ps37,
921,96.9,ps39,
922,97.0,ps41,
923,97.1,ps43,
924,97.2,ps44,
925,97.3,ps46,
926,97.4,ps48,
927,97.5,ps50,
928,97.6,ps52,
929,97.7,ps54,
930,97.8,ps55,
931,97.9,ps57,
932,98.0,ps59,
933,98.1,ps60,
934,98.2,ps62,
935,98.3,ps64,
936,98.4,ps65,
937,98.5,ps67,
938,98.6,ps68,
939,98.7,ps70,
940,98.8,ps71,
941,98.9,ps73,
942,99.0,ps74,
943,99.1,ps76,
944,99.2,ps77,
945,99.3,ps78,
946,99.4,ps80,
947,99.5,ps81,
948,99.6,ps82,
949,99.7,ps83,
950,99.8,ps84,
951,99.9,ps86,
952,100.0,ps87,
