delay,ptu_ebay_cmd,ptu_d48_cmd
88.6,ps-47,ps47
88.7,ps-47,ps47
88.8,ps-47,ps47
88.9,ps-47,ps47
89.0,ps-48,ps48
89.1,ps-48,ps48
89.2,ps-48,ps48
89.3,ps-48,ps48
89.4,ps-48,ps48
89.5,ps-48,ps48
89.6,ps-48,ps48
89.7,ps-48,ps48
89.8,ps-48,ps48
89.9,ps-48,ps48
90.0,ps-48,ps48
90.1,ps-48,ps48
90.2,ps-48,ps48
90.3,ps-48,ps48
90.4,ps-49,ps49
90.5,ps-49,ps49
90.6,ps-49,ps49
90.7,ps-49,ps49
90.8,ps-49,ps49
90.9,ps-49,ps49
91.0,ps-49,ps49
91.1,ps-49,ps49
91.2,ps-49,ps49
91.3,ps-49,ps49
91.4,ps-49,ps49
91.5,ps-49,ps49
91.6,ps-49,ps49
91.7,ps-49,ps49
91.8,ps-49,ps49
91.9,ps-49,ps49
92.0,ps-49,ps49
92.1,ps-49,ps49
92.2,ps-49,ps49
92.3,ps-50,ps50
92.4,ps-50,ps50
92.5,ps-50,ps50
92.6,ps-50,ps50
92.7,ps-50,ps50
92.8,ps-50,ps50
92.9,ps-50,ps50
93.0,ps-50,ps50
93.1,ps-50,ps50
93.2,ps-50,ps50
93.3,ps-50,ps50
93.4,ps-50,ps50
93.5,ps-50,ps50
93.6,ps-50,ps50
93.7,ps-50,ps50
93.8,ps-50,ps50
93.9,ps-50,ps50
94.0,ps-50,ps50
94.1,ps-50,ps50
94.2,ps-50,ps50
94.3,ps-50,ps50
94.4,ps-50,ps50
94.5,ps-50,ps50
94.6,ps-50,ps50
94.7,ps-50,ps50
94.8,ps-50,ps50
94.9,ps-50,ps50
95.0,ps-50,ps50
95.1,ps-50,ps50
95.2,ps-50,ps50
95.3,ps-50,ps50
95.4,ps-50,ps50
95.5,ps-50,ps50
95.6,ps-50,ps50
95.7,ps-50,ps50
95.8,ps-50,ps50
95.9,ps-50,ps50
96.0,ps-50,ps50
96.1,ps-50,ps50
96.2,ps-50,ps50
96.3,ps-50,ps50
96.4,ps-50,ps50
96.5,ps-50,ps50
96.6,ps-50,ps50
96.7,ps-50,ps50
96.8,ps-50,ps50
96.9,ps-50,ps50
97.0,ps-50,ps50
97.1,ps-50,ps50
97.2,ps-50,ps50
97.3,ps-50,ps50
97.4,ps-50,ps50
97.5,ps-50,ps50
97.6,ps-50,ps50
97.7,ps-50,ps50
97.8,ps-49,ps49
97.9,ps-49,ps49
98.0,ps-49,ps49
98.1,ps-49,ps49
98.2,ps-49,ps49
98.3,ps-49,ps49
98.4,ps-49,ps49
98.5,ps-49,ps49
98.6,ps-49,ps49
98.7,ps-49,ps49
98.8,ps-49,ps49
98.9,ps-49,ps49
99.0,ps-49,ps49
99.1,ps-49,ps49
99.2,ps-49,ps49
99.3,ps-49,ps49
99.4,ps-49,ps49
99.5,ps-49,ps49
99.6,ps-49,ps49
99.7,ps-48,ps48
99.8,ps-48,ps48
99.9,ps-48,ps48
100.0,ps-48,ps48
100.1,ps-48,ps48
100.2,ps-48,ps48
100.3,ps-48,ps48
100.4,ps-48,ps48
100.5,ps-48,ps48
100.6,ps-48,ps48
100.7,ps-48,ps48
100.8,ps-48,ps48
100.9,ps-48,ps48
101.0,ps-48,ps48
101.1,ps-47,ps47
101.2,ps-47,ps47
101.3,ps-47,ps47
101.4,ps-47,ps47
101.5,ps-47,ps47
101.6,ps-47,ps47
101.7,ps-47,ps47
101.8,ps-47,ps47
101.9,ps-47,ps47
102.0,ps-47,ps47
102.1,ps-47,ps47
102.2,ps-46,ps46
102.3,ps-46,ps46
102.4,ps-46,ps46
102.5,ps-46,ps46
102.6,ps-46,ps46
102.7,ps-46,ps46
102.8,ps-46,ps46
102.9,ps-46,ps46
103.0,ps-46,ps46
103.1,ps-46,ps46
103.2,ps-45,ps45
103.3,ps-45,ps45
103.4,ps-45,ps45
103.5,ps-45,ps45
103.6,ps-45,ps45
103.7,ps-45,ps45
103.8,ps-45,ps45
103.9,ps-45,ps45
104.0,ps-45,ps45
104.1,ps-44,ps44
104.2,ps-44,ps44
104.3,ps-44,ps44
104.4,ps-44,ps44
104.5,ps-44,ps44
104.6,ps-44,ps44
104.7,ps-44,ps44
104.8,ps-44,ps44
104.9,ps-43,ps43
105.0,ps-43,ps43
105.1,ps-43,ps43
105.2,ps-43,ps43
105.3,ps-43,ps43
105.4,ps-43,ps43
105.5,ps-43,ps43
105.6,ps-42,ps42
105.7,ps-42,ps42
105.8,ps-42,ps42
105.9,ps-42,ps42
106.0,ps-42,ps42
106.1,ps-42,ps42
106.2,ps-42,ps42
106.3,ps-42,ps42
106.4,ps-41,ps41
106.5,ps-41,ps41
106.6,ps-41,ps41
106.7,ps-41,ps41
106.8,ps-41,ps41
106.9,ps-41,ps41
107.0,ps-40,ps40
107.1,ps-40,ps40
107.2,ps-40,ps40
107.3,ps-40,ps40
107.4,ps-40,ps40
107.5,ps-40,ps40
107.6,ps-40,ps40
107.7,ps-39,ps39
107.8,ps-39,ps39
107.9,ps-39,ps39
108.0,ps-39,ps39
108.1,ps-39,ps39
108.2,ps-39,ps39
